Name,Canopy,Carbon,Height
Tilia cordata,0.8,6.5,3.0
Tilia cordata,3.1,11.7,4.0
Tilia cordata,1.8,6.5,3.5
Tilia cordata,1.8,6.5,3.5
Tilia cordata,1.8,6.5,3.5
Tilia cordata,12.6,18.8,4.0
Tilia cordata,19.6,23.1,4.5
Tilia cordata,0.8,4.5,4.0
Tilia cordata,12.6,33.2,6.0
Tilia cordata,12.6,27.9,5.0
Tilia cordata,1.8,11.7,4.0
Tilia cordata,7.1,15.0,4.0
Tilia cordata,7.1,15.0,4.0
Tilia cordata,12.6,23.1,4.5
Tilia cordata,4.9,15.0,4.0
Tilia cordata,0.8,11.7,3.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,15.6,6.0
Celtis australis,7.1,15.6,5.0
Celtis australis,7.1,15.6,5.0
Celtis australis,7.1,15.6,5.0
Celtis australis,7.1,15.6,5.0
Celtis australis,7.1,15.6,5.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,15.6,6.0
Celtis australis,7.1,15.6,5.0
Celtis australis,4.9,10.3,5.0
Celtis australis,4.9,10.3,5.0
Celtis australis,4.9,10.3,5.0
Celtis australis,7.1,15.6,5.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,13.7,6.0
Celtis australis,19.6,15.6,6.0
Celtis australis,12.6,12.0,6.0
Celtis australis,12.6,12.0,6.0
Celtis australis,12.6,19.6,6.0
Celtis australis,12.6,12.0,6.0
Celtis australis,12.6,12.0,6.0
Celtis australis,12.6,12.0,6.0
Celtis australis,4.9,7.3,5.0
Celtis australis,4.9,10.3,5.0
Celtis australis,7.1,15.6,5.0
Celtis australis,4.9,10.3,5.0
Celtis australis,7.1,10.3,5.0
Celtis australis,7.1,10.3,5.0
Celtis australis,7.1,10.3,5.0
Celtis australis,4.9,7.3,5.0
Celtis australis,7.1,10.3,5.0
Celtis australis,7.1,10.3,5.0
Celtis australis,7.1,15.6,5.0
Celtis australis,19.6,15.6,6.0
Celtis australis,7.1,15.6,5.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,15.6,6.0
Celtis australis,7.1,15.6,5.0
Celtis australis,7.1,15.6,5.0
Celtis australis,7.1,15.6,5.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,15.6,6.0
Celtis australis,19.6,15.6,6.0
Tilia cordata,4.9,15.0,4.0
Tilia,4.9,35.7,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia,4.9,35.7,4.0
Tilia,4.9,35.7,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
Tilia cordata,4.9,15.0,4.0
