Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude
9817.0,Prunus cerasifera,16,610.53,66.8,10.73,3.2,0.51,0,0.04,,,16.4,0.08,,0.63,8.5,4.5,1.3,3.5,9.6,11.3,0.7,46.06688878180991,11.12935795820684
9818.0,Prunus cerasifera,10,213.61,21.3,3.42,1.6,0.26,0,0.01,,,6.2,0.03,,0.31,4.3,3,0.9,2,3.1,4.3,0.3,46.06691302902815,11.12928842014653
9819.0,Prunus cerasifera,5,53.4,3.9,0.63,0.6,0.1,0,0,,,1.6,0.01,,0.11,1.6,2,0.6,1,0.8,1.1,0.1,46.06701243423974,11.12905445305446
9822.0,Prunus cerasifera,21,793.5700000000001,129.5,20.81,4.7,0.75,0,0.06,,,24.5,0.13,,0.9399999999999999,12.5,4,1.2,4,12.6,16.9,1,46.06704216762758,11.12898512571327
9823.0,Prunus cerasifera,18,677.8099999999999,89,14.29,3.8,0.6,0,0.08,,,33.9,0.17,,0.86,10,5,1.5,4.5,15.9,23.4,1.4,46.06709315117027,11.12886217832891
9824.0,Prunus cerasifera,18,677.8099999999999,89,14.29,3.8,0.6,0,0.06,,,23,0.12,,0.78,10,5,1.5,4,12.6,15.8,1,46.06720619585027,11.12844680223317
9826.0,Sophora japonica,14,579.13,28.8,4.63,1.5,0.24,0,0.02,,,8.4,0.04,,0.3,3.9,4.5,1.3,2.5,4.9,5.8,0.7,46.06713656869092,11.12801483322007
9829.0,Ligustrum japonicum,8,178.35,16.1,2.59,1.9,0.3,0,0.01,,,4.3,0.02,,0.34,5.1,2,0.6,1.5,1.8,2.9,0.3,46.0671193498598,11.12809847792395
9830.0,Ligustrum japonicum,7,136.55,11.9,1.92,1.6,0.26,0,0.01,,,3.8,0.02,,0.29,4.3,2,0.6,1.5,1.8,2.6,0.2,46.06709603789081,11.12825313517231
9831.0,Ligustrum japonicum,10,278.67,27.9,4.48,2.6,0.42,0,0.02,,,7.2,0.04,,0.47,6.9,3,0.9,2,3.1,5,0.5,46.06708174270895,11.12833443536728
9832.0,Ligustrum japonicum,10,278.67,29.2,4.69,2.7,0.43,0,0.02,,,7.6,0.04,,0.49,7.1,4,1.2,2,3.1,5.2,0.5,46.06706600120521,11.12841606782164
9833.0,Ligustrum japonicum,10,278.67,29.2,4.69,2.7,0.43,0,0.02,,,8.1,0.04,,0.49,7.1,4,1.2,2,3.1,5.6,0.5,46.06705770260383,11.128470185949
9834.0,Ligustrum japonicum,10,278.67,27.9,4.49,2.6,0.42,0,0.02,,,8.199999999999999,0.04,,0.48,6.9,3,0.9,2,3.1,5.6,0.5,46.06702490626779,11.12856383435139
9835.0,Ligustrum japonicum,7,136.55,12.8,2.05,1.7,0.27,0,0.02,,,7.2,0.04,,0.32,4.5,3,0.9,2,3.1,5,0.5,46.0670185046156,11.12863690381484
9836.0,Ligustrum japonicum,8,178.35,16.1,2.59,1.9,0.3,0,0.01,,,4.3,0.02,,0.34,5.1,2,0.6,1.5,1.8,2.9,0.3,46.06700967176753,11.12868104487611
9837.0,Ligustrum japonicum,8,178.35,17.1,2.75,2,0.32,0,0.02,,,7.6,0.04,,0.37,5.3,3,0.9,2,3.1,5.2,0.5,46.06692282877984,11.12903303332163
9838.0,Ligustrum japonicum,10,278.67,26.5,4.26,2.5,0.4,0,0.01,,,4.3,0.02,,0.44,6.7,2,0.6,1.5,1.8,3,0.3,46.06691151598364,11.12907500999108
9839.0,Ligustrum japonicum,7,136.55,11.9,1.92,1.6,0.26,0,0.01,,,3.1,0.02,,0.28,4.3,2,0.6,1.5,1.8,2.2,0.2,46.06705096807211,11.1286915549719
9840.0,Ligustrum japonicum,10,278.67,28.1,4.52,2.6,0.42,0,0.03,,,14.2,0.07000000000000001,,0.52,6.9,3,0.9,3,7.1,9.800000000000001,0.9,46.06678183103351,11.12936897261093
9841.0,Prunus cerasifera,5,53.4,3.9,0.63,0.6,0.1,0,0,,,1.6,0.01,,0.11,1.6,2,0.6,1,0.8,1.1,0.1,46.06665295169091,11.1296872739383
9842.0,Prunus cerasifera,16,610.53,66.8,10.73,3.2,0.51,0,0.03,,,11.8,0.06,,0.6,8.5,4,1.2,2.5,4.9,8.1,0.5,46.06662610320004,11.12975632350769
9843.0,Prunus cerasifera,16,610.53,66.8,10.73,3.2,0.51,0,0.02,,,7.7,0.04,,0.57,8.5,4,1.2,2,3.1,5.3,0.3,46.06659134479186,11.12983929205095
9844.0,Prunus cerasifera,6,76.90000000000001,6.1,0.98,0.8,0.13,0,0,,,1.7,0.01,,0.14,2.1,2,0.6,1,0.8,1.2,0.1,46.06657363876041,11.12989589220946
9845.0,Prunus cerasifera,6,76.90000000000001,6.1,0.98,0.8,0.13,0,0,,,1.7,0.01,,0.14,2.1,2,0.6,1,0.8,1.2,0.1,46.06652926071811,11.13001689352485
9847.0,Prunus cerasifera,10,213.61,21.3,3.42,1.6,0.26,0,0.02,,,8.300000000000001,0.04,,0.32,4.3,4,1.2,2.5,4.9,5.7,0.3,46.0664694465807,11.13013549040084
